post_id,media,reporter,str_date,title,link,scores,grp_copy,key1
6267704,网易,,20200221,早知道：欧美股市集体收跌 黄金ETF持仓量创新高,https://money.163.com/20/0221/08/F5T5Q8PP00258152.html,0,0, 东方 国金 中信建投
6268013,电鳗快报,侠名,20200221,招商基金苏燕青：TMT景气度上行 看好龙头公司长期投资价值,http://www.dmkb.net/html/2020/02/109342.html,2,0, 招商
6268204,新京报,,20200221,紧急冲进线上教育领域，立思辰定增15.3亿输血,http://www.bjnews.com.cn/finance/2020/02/21/692678.html,0,2, 兴全 建信 中金 睿远
6270251,证券日报,,20200222,博时成长优选两年封闭2月21日发行 同门基金博时裕隆过去2年收益率近50%,http://www.zqrb.cn/fund/jijindongtai/2020-02-22/A1582294696611.html,2,2, 博时 鹏扬 银河
6270281,证券日报,李冰,20200222,在线理财直播“火爆” 基金经理变身“李佳琦”？,http://www.zqrb.cn/fund/jijindongtai/2020-02-22/A1582294696616.html,0,0, 建信 万家
6271778,金融投资报,,20200222,“日光基”为股市提供“弹药”,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109750.shtml,0,0, 睿远 上投摩根
6271786,金融投资报,,20200222,居民储蓄往股市搬家迹象明显,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109763.shtml,2,0, 前海开源
6271787,金融投资报,,20200222,券商迎来多重利好共振证券FG2月21日正式上市,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109762.shtml,2,1, 富国 融通
6271788,金融投资报,,20200222,全球黄金ETF持仓量创历史新高,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109761.shtml,0,1, 博时 天弘
6271789,金融投资报,,20200222,新基金发行四天卖出六“爆款”,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109759.shtml,0,4, 中邮 安信 交银 东证资管 东方 易方达 睿远 建信 永赢 招商 博时 鹏扬 新华
6271790,金融投资报,刘庆华,20200222,19 家公司非货币基金月均规模超千亿,https://stocknews.scol.com.cn/shtml/jrtzb/20200222/109758.shtml,0,5, 易方达 博时 华夏 南方 中银 广发 汇添富 嘉实 工银瑞信 农银汇理 平安 先锋 民生加银 东证资管 东方 永赢
6273463,全景网,,20200222,南华中证杭州湾区ETF上市一周年，累计收益率超38%,http://www.p5w.net/fund/gsdt/202002/t20200222_2381007.htm,2,0, 南华
6273507,和讯网,,20200222,杨德龙：科技股为何越涨越猛？,http://funds.hexun.com/2020-02-22/200376052.html,2,0, 前海开源
6273563,新浪,,20200222,杨德龙：科技股投资要选择龙头、相对分散,https://finance.sina.com.cn/money/fund/jjsy/2020-02-22/doc-iimxxstf3505151.shtml,2,1, 前海开源
6274415,中国基金报,,20200222,&#x5357;&#x65B9;&#x57FA;&#x91D1;&#x518D;&#x521B;&#x7206;&#x6B3E;&#xFF01;&#x5357;&#x65B9;&#x5185;&#x9700;&#x589E;&#x957F;&#x4E24;&#x5E74;&#x5B9A;&#x671F;&#x80A1;&#x7968;&#x57FA;&#x91D1;&#x9996;&#x52DF;&#x8FD1;50&#x4EBF;,http://www.chnfund.com/article/AR2020022217180230248712,2,0, 银河 南方
6275367,新浪,,20200222,年内基金最高涨幅近60% 去年冠军刘格菘跌出前20(表),https://finance.sina.com.cn/money/fund/jjdt/2020-02-22/doc-iimxxstf3551314.shtml,0,1, 交银 兴业 国联安 光大保德信 银河 华泰柏瑞 景顺长城 万家 广发 国泰 华润元大 华夏 南方 长城 湘财
6277818,中国网,,20200222,南方基金再出爆款！南方内需增长两年定期股票基金首募近50亿,http://finance.china.com.cn/money/fund/20200222/5201337.shtml,2,4, 南方 银河
6277852,投资快报,许诺,20200222,7000亿市场规模还被低估? 线上医疗迎来新机 公募已密切关注,http://www.927953.com/tzkb/509985.html,0,1, 博时 广发 南方 安信
6277867,新京报,张姝欣,20200222,创业板年后涨27%，一日交易2600亿！基民如何上车,http://www.bjnews.com.cn/finance/2020/02/22/693389.html,0,1, 博时
6277968,投资快报,长城基金 雷俊,20200222,创业板行情或大概率延续,http://www.927953.com/tzkb/509986.html,0,0, 融通 华润元大
6278037,中国证券报,吴娟娟,20200222,华夏新汽车ETF发行规模破百亿 首只发行规模超百亿元行业ETF诞生,http://www.cs.com.cn/tzjj/jjdt/202002/t20200222_6028483.html,2,5, 华夏
6278100,澎湃,郭钰,20200222,浦东出台16条举措：率先承接金融业对外开放项目在浦东落地,https://www.thepaper.cn/newsDetail_forward_6076814,0,0, 上投摩根
6278206,华夏时报,贾谨嫣 陈锋,20200222,疫情避险资金助推黄金牛股飙涨七成，金价突破1640美元再创新高,http://www.chinatimes.net.cn/article/94717.html,0,1, 东方 国泰 银华 中信建投
6278900,证券市场红周刊,,20200223,公募节后仓位调查： 为何九成仓位难保业绩出色,http://static.hongzhoukan.com/2020/02/23/594792.html,0,14, 景顺长城 长城 国金 中加 国开泰富 新沃 睿远 中庚 兴全 交银 华泰柏瑞 诺安
6279306,界面,黄慧玲,20200223,市场狂热时，投资者要冷静 | 基市评论,https://www.jiemian.com/article/4018631.html,0,0, 交银 中邮 东证资管 东方 易方达 银华 睿远 华夏 富国 广发 国泰 嘉实
6279962,上海证券报,陈玥,20200218,政策推动物流板块大涨 工银瑞信物流产业累计净值翻番,http://stock.cnstock.com/stock/smk_jjdx/202002/4491067.htm,2,3, 工银瑞信
6279973,上海证券报,朱文彬,20200218,十余年老将再出新作 易方达研究精选2月19日起发行,http://stock.cnstock.com/stock/smk_jjdx/202002/4491051.htm,2,0, 易方达
6279999,中国网,,20200218,博时基金王祥：维持对金价上试区间上沿1620判断,http://finance.china.com.cn/money/fund/20200218/5196767.shtml,2,0, 博时
6280000,中国证券报,林荣华,20200223,A股ETF近一周净流出72.20亿元,http://www.cs.com.cn/tzjj/jjdt/202002/t20200223_6028628.html,0,4, 华泰柏瑞 工银瑞信 华夏 汇添富 南方 易方达 华安 华宝 国联安
6280024,上海证券报,陈玥,20200218,天弘基金戴险峰：黄金的长期避险价值凸显,http://stock.cnstock.com/stock/smk_jjdx/202002/4491055.htm,2,0, 天弘
6280057,中国证券报,林荣华,20200218,逼空行情再现 基金经理建议坚守科技股主线,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6026811.html,0,0, 国寿安保 博时 朱雀基金
6280077,中国网,,20200218,招商基金苏燕青：TMT景气度上行看好龙头公司长期投资价值,http://finance.china.com.cn/money/fund/20200218/5196866.shtml,2,0, 招商
6280106,上海证券报,陈玥,20200218,银河和美生活增聘大咖郑巍山 加持科技“正能量”,http://stock.cnstock.com/stock/smk_jjdx/202002/4491057.htm,2,0, 银河
6280143,中国证券报,余世鹏,20200218,长盛基金朱律：5G产业升级将引领成长行情,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6026834.html,2,0, 长盛 银河
6280160,中国网,,20200218,易方达研究精选2月19日起发行,http://finance.china.com.cn/money/fund/20200218/5196894.shtml,2,0, 易方达
6280382,中国证券报,张焕昀,20200218,融通新能源汽车基金经理王迪：新能源汽车行情或将持续发酵,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6027049.html,2,0, 融通
6280538,中国证券报,余世鹏,20200218,招商基金苏燕青：TMT景气度上行 看好龙头公司长期投资价值,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6027113.html,2,0, 招商
6280602,每日经济新闻,,20200223,每经17点丨北京：企业人均办公面积不少于2.5㎡；甘肃8市州全面恢复正常生产生活秩序；韩国累计确诊新冠肺炎602例,http://www.nbd.com.cn/articles/2020-02-23/1410688.html,0,2, 华夏
6280629,中国证券报,余世鹏,20200218,创金合信基金李游：锂钴标的具备阶段性配置价值,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6027114.html,2,0, 创金合信
6280684,中国证券报,王宇露,20200218,华商基金吴昊：高端制造黄金时代正在来临,http://www.cs.com.cn/tzjj/jjks/202002/t20200218_6027138.html,2,0, 华商
6280814,21世纪经济报道,庞华玮,20200218,基金发行“超级周”来临： “大牌”云集17只基金扎堆发行,https://m.21jingji.com/article/20200218/7d2fc4b8033e190cb64de7239d136806.html,0,12, 交银 东证资管 博时 东方 华夏 易方达 睿远 鹏华 万家 建信 永赢 招商 中邮 安信 鹏扬
6280895,第一财经,郭璐庆,20200223,疫情改变资本生态，打破“爆款市场见顶”魔咒？,https://www.yicai.com/news/100518359.html,0,6, 交银 东证资管 东方 景顺长城 广发 汇添富 先锋 长城 中邮 建信 易方达 永赢 招商 睿远 上投摩根
6280988,21世纪经济报道,庞华玮,20200223,科技股迎“强政策周期”？5g、工业互联网、智能汽车被“点将”,https://m.21jingji.com/article/20200223/herald/57d448bbf3b20fb31599eb82c37484d3.html,0,1, 华夏
6281444,中国证券报,余世鹏,20200219,新能车ETF成交18.91亿元 居同类排行第三位,http://www.cs.com.cn/tzjj/jjdt/202002/t20200219_6027579.html,2,0, 平安
6281446,中国证券报,余世鹏,20200219,招商贾成东两只偏股基金齐获五星评级 任职期间年化收益率超24%,http://www.cs.com.cn/tzjj/jjdt/202002/t20200219_6027583.html,2,0, 招商
6281455,中国证券报,李惠敏,20200219,中邮基金国晓雯：科技股浪潮有望持续2至3年,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027226.html,2,0, 中邮
6281459,中国证券报,万宇,20200219,易方达冯波：超额收益来自深度认知,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027332.html,2,0, 易方达
6281461,中国证券报,张焕昀,20200219,融通基金蔡志伟：创业板第2轮牛市或已启航,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027336.html,2,0, 融通
6281463,中国证券报,张焕昀,20200219,长城基金向威达：再融资新规引发行情扩散 科技股短期内或高位震荡,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027366.html,2,0, 长城
6281465,中国证券报,张焕昀,20200219,宝盈基金郝淼：生物医药板块值得长期关注 看好创新药、医疗器械等投资机会,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027445.html,2,0, 宝盈 银河
6281469,中国证券报,张焕昀,20200219,大摩科技领先基金雷志勇：科技向好逻辑不变 关注七大细分投资机会,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027479.html,2,0, 摩根士丹利华鑫
6281471,中国证券报,余世鹏,20200219,创金合信基金周志敏：科技股仍是市场主线 深挖更优收益机会,http://www.cs.com.cn/tzjj/jjks/202002/t20200219_6027481.html,2,0, 创金合信
6281518,中国证券报,王辉,20200219,朱雀基金柳雯青：债券市场长牛逻辑未改,http://www.cs.com.cn/gppd/../tzjj/jjks/202002/t20200219_6027225.html,0,9, 朱雀基金 富国
6283826,经济观察报,郑一真,20200223,手握1290亿天量现金，巴菲特2020年股东信透露了哪些未来投资之道？,http://www.eeo.com.cn/2020/0223/376882.shtml,0,6, 前海开源
6285800,金融界,孙宝,20200218,招商基金旗下国证生物医药指数分级基金可能发生不定期份额折算,http://fund.jrj.com.cn/2020/02/18154628848707.shtml,0,0, 招商
6285801,金融界,孙宝,20200218,富国中证新能源汽车指数分级基金可能发生不定期份额折算,http://fund.jrj.com.cn/2020/02/18154728848724.shtml,0,2, 富国
6285987,北京商报,陶凤 汤艺甜,20200224,致股东信留悬念 巴菲特铺路接班人 ,http://www.bbtnews.com.cn/2020/0224/337808.shtml,0,3, 前海开源
