media,str_date,reprint,scores
新浪,20191104,1,2
网易,20191104,0,0
澎湃,20191104,1,0
澎湃,20191104,1,0
投资快报,20191104,1,-1
财联社,20191104,1,0
财联社,20191104,0,0
中国证券报,20191104,3,0
中国证券报,20191104,5,0
上海证券报,20191104,5,0
中国证券报,20191104,1,0
中国证券报,20191104,1,0
上海证券报,20191104,3,0
上海证券报,20191104,2,0
上海证券报,20191104,2,0
新浪,20191104,2,0
和讯网,20191104,1,2
中国基金报,20191104,0,0
中国网,20191104,4,2
上海证券报,20191104,5,0
上海证券报,20191104,2,2
上海证券报,20191104,4,0
新浪,20191104,2,2
21世纪经济报道,20191102,9,0
中国经济网,20191104,3,2
中国经济网,20191104,0,2
21世纪经济报道,20191102,23,0
第一财经,20191104,1,0
第一财经,20191104,2,0
第一财经,20191104,0,0
第一财经,20191104,1,0
投资快报,20191104,0,0
财联社,20191104,1,0
21世纪经济报道,20191104,2,0
上海证券报,20191104,6,2
电鳗快报,20191104,2,0
电鳗快报,20191104,3,0
电鳗快报,20191104,2,0
金融界,20191104,0,0
金融界,20191104,1,-2
21世纪经济报道,20191104,3,0
财联社,20191104,1,0
财联社,20191104,1,0
财联社,20191104,1,0
财联社,20191104,1,0
全景网,20191104,1,2
第一财经,20191104,2,0
和讯网,20191104,0,2
新浪,20191104,1,2
和讯网,20191104,1,2
新浪,20191104,2,2
新浪,20191104,1,2
新浪,20191104,1,2
新浪,20191104,0,2
中国网,20191104,1,2
中国网,20191104,2,2
澎湃,20191104,0,0
网易,20191104,0,0
新浪,20191104,1,2
中国网,20191104,1,2
财新网,20191104,0,0
新浪,20191104,1,2
新浪,20191104,0,2
中国经济网,20191104,1,2
财经网,20191104,0,0
中国经济网,20191104,1,2
腾讯财经,20191104,0,0
21世纪经济报道,20191104,1,0
21世纪经济报道,20191104,1,0
21世纪经济报道,20191104,1,0
第一财经,20191104,1,0
21世纪经济报道,20191104,3,0
上海证券报,20191104,2,2
上海证券报,20191104,2,2
上海证券报,20191104,3,2
上海证券报,20191104,2,0
新浪,20191104,0,0
新浪,20191104,2,2
中国证券报,20191104,1,0
金融界,20191104,1,0
新浪,20191104,1,0
新浪,20191104,1,0
中国证券报,20191104,0,2
中国证券报,20191104,2,0
中国经济网,20191105,4,2
中国证券报,20191105,5,0
21世纪经济报道,20191105,9,-1
21世纪经济报道,20191105,5,0
澎湃,20191104,2,0
中华工商时报,20191105,1,0
新京报,20191105,2,0
金融投资报,20191105,2,0
金融投资报,20191105,1,2
金融投资报,20191105,1,0
金融投资报,20191105,1,2
金融投资报,20191105,2,0
金融投资报,20191105,2,2
上海证券报,20191105,2,0
每日经济新闻,20191105,7,0
21世纪经济报道,20191104,1,0
21世纪经济报道,20191105,7,0
新京报,20191105,1,0
新京报,20191105,1,0
新京报,20191105,1,0
新闻晨报,20191105,1,0
澎湃,20191104,3,0
上海证券报,20191105,12,0
中国基金报,20191105,1,0
中国基金报,20191105,3,0
中国基金报,20191105,15,0
中国基金报,20191105,1,0
上海证券报,20191105,4,0
上海证券报,20191105,2,0
上海证券报,20191105,11,0
上海证券报,20191105,8,0
中国网,20191105,3,2
澎湃,20191104,1,0
澎湃,20191104,0,0
证券时报,20191105,7,0
证券时报,20191105,15,0
证券时报,20191105,11,0
证券时报,20191105,18,0
新浪,20191105,1,0
国际金融报,20191104,3,-2
第一财经,20191105,2,0
第一财经,20191104,3,0
第一财经,20191104,4,0
中国经济网,20191105,1,2
财联社,20191105,1,0
财联社,20191105,1,0
中国经济网,20191105,1,0
中国经济网,20191105,4,2
电鳗快报,20191104,1,0
上海证券报,20191105,3,0
上海证券报,20191105,4,0
网易,20191105,1,0
投资快报,20191105,1,0
投资快报,20191105,2,0
投资快报,20191105,2,0
投资快报,20191105,1,0
中国证券报,20191105,22,0
中国证券报,20191105,6,0
投资快报,20191105,0,0
中国证券报,20191104,0,0
中国证券报,20191105,0,0
21世纪经济报道,20191104,0,0
中国证券报,20191105,3,0
中国证券报,20191104,0,0
中国证券报,20191104,0,0
中国证券报,20191104,0,0
中国证券报,20191104,0,0
中国证券报,20191105,11,2
21世纪经济报道,20191104,3,0
证券日报,20191104,0,0
中国网,20191105,3,2
财联社,20191105,1,0
金融界,20191105,1,0
21世纪经济报道,20191105,1,0
21世纪经济报道,20191105,0,0
北京商报,20191105,5,0
新浪,20191105,2,2
新浪,20191105,1,2
北京商报,20191104,1,0
北京商报,20191104,1,0
北京商报,20191104,1,2
北京商报,20191104,2,0
北京商报,20191104,1,0
北京商报,20191104,1,0
北京商报,20191104,1,0
金融界,20191105,0,0
上海证券报,20191105,1,0
新京报,20191105,1,0
和讯网,20191105,2,2
新浪,20191105,0,2
和讯网,20191105,0,2
第一财经,20191105,3,0
新浪,20191105,1,2
腾讯,20191105,0,0
21世纪经济报道,20191105,0,0
21世纪经济报道,20191105,0,0
新浪,20191105,2,2
上海证券报,20191105,1,2
上海证券报,20191105,4,0
